genre,popularity,acousticness,danceability,duration_ms,energy,liveness,loudness,speechiness,tempo,valence
Electronic,43.0,0.0477,0.673,268800.0,0.652,0.119,-9.051,0.0702,94.873,0.738
Electronic,35.0,0.00744,0.717,207224.0,0.882,0.213,-6.572,0.365,170.1,0.524
Electronic,45.0,0.333,0.703,369146.0,0.421,0.647,-16.18,0.0588,118.005,0.236
Electronic,42.0,0.0234,0.837,237520.0,0.472,0.108,-11.45,0.0733,98.964,0.369
Electronic,49.0,0.00204,0.81,224800.0,0.36,0.0892,-13.929,0.0684,120.004,0.0376
Electronic,39.0,0.00263,0.712,242533.0,0.83,0.106,-5.419,0.0365,144.034,0.7
Electronic,33.0,2.11e-05,0.616,258207.0,0.998,0.796,-2.723,0.0779,145.015,0.554
Electronic,36.0,0.0023,0.585,241213.0,0.902,0.343,-3.714,0.0788,104.069,0.261
Electronic,29.0,0.000547,0.553,195200.0,0.91,0.0907,-3.294,0.051,149.997,0.0646
Electronic,39.0,0.0302,0.67,219499.0,0.941,0.344,-5.231,0.316,160.03,0.651
Electronic,35.0,0.307,0.649,243827.0,0.972,0.105,-7.255,0.109,162.855,0.399
Electronic,47.0,0.146,0.754,436200.0,0.476,0.0897,-11.792,0.0494,115.007,0.344
Electronic,30.0,0.0231,0.777,172362.0,0.916,0.559,-4.366,0.282,139.989,0.397
Electronic,34.0,0.0309,0.404,224627.0,0.677,0.112,-5.77,0.0727,154.631,0.617
Electronic,34.0,0.000705,0.444,211200.0,0.926,0.153,-0.762,0.3,72.041,0.314
Electronic,42.0,0.00682,0.71,195987.0,0.859,0.0436,-6.38,0.214,139.983,0.411
Electronic,39.0,0.11,0.777,209711.0,0.667,0.0958,-5.034,0.358,170.121,0.69
Electronic,31.0,0.004,0.462,219691.0,0.636,0.372,-8.997,0.0341,90.006,0.0947
Electronic,34.0,0.119,0.614,150608.0,0.514,0.173,-11.018,0.0498,76.578,0.239
Electronic,38.0,0.0133,0.616,308120.0,0.645,0.129,-12.651,0.0453,122.003,0.0383
Electronic,34.0,0.0337,0.685,226667.0,0.95,0.0727,-3.556,0.0675,126.026,0.264
Electronic,41.0,0.000712,0.861,367687.0,0.574,0.068,-12.554,0.056,126.984,0.218
Electronic,24.0,0.296,0.777,200800.0,0.681,0.0803,-8.688,0.0418,126.034,0.338
Electronic,35.0,0.135,0.248,230747.0,0.295,0.903,-18.166,0.0434,90.398,0.0571
Electronic,44.0,0.0917,0.583,401253.0,0.666,0.281,-11.702,0.0307,121.709,0.11
Electronic,34.0,0.0732,0.352,496013.0,0.609,0.0696,-10.447,0.0413,115.896,0.0686
Electronic,26.0,0.000402,0.72,245285.0,0.87,0.135,-9.385,0.0452,140.006,0.233
Electronic,35.0,0.178,0.81,254427.0,0.326,0.113,-14.051,0.32,176.027,0.249
Electronic,49.0,0.0266,0.416,242680.0,0.938,0.0955,-1.678,0.0484,172.955,0.516
Electronic,29.0,0.000945,0.657,190800.0,0.995,0.323,-7.258,0.0529,124.897,0.794
Electronic,46.0,0.197,0.827,323218.0,0.54,0.116,-10.485,0.051,122.024,0.065
Electronic,31.0,0.0247,0.575,221278.0,0.995,0.127,-5.17,0.117,127.954,0.321
Electronic,45.0,0.323,0.566,297380.0,0.576,0.0843,-7.775,0.058,127.996,0.155
Electronic,27.0,0.0255,0.874,252029.0,0.629,0.0947,-8.138,0.0592,123.977,0.358
Electronic,30.0,0.00599,0.606,133027.0,0.616,0.135,-11.69,0.188,100.016,0.296
Electronic,34.0,0.175,0.704,240240.0,0.713,0.336,-7.909,0.0632,139.768,0.598
Electronic,27.0,0.0602,0.596,218496.0,0.862,0.138,-4.957,0.313,145.057,0.572
Electronic,39.0,0.722,0.419,208267.0,0.208,0.108,-14.751,0.0339,148.07,0.108
Electronic,29.0,0.522,0.266,219514.0,0.574,0.324,-9.096,0.0345,103.785,0.0739
Electronic,29.0,0.0878,0.425,250227.0,0.805,0.16,-7.984,0.0537,126.581,0.384
Electronic,20.0,0.589,0.699,458667.0,0.416,0.083,-13.688,0.0658,89.998,0.542
Electronic,47.0,0.00138,0.597,209440.0,0.953,0.0813,-3.443,0.105,140.14,0.515
Electronic,29.0,0.0145,0.778,213333.0,0.859,0.0754,-5.766,0.173,126.006,0.304
Electronic,29.0,0.00276,0.461,329143.0,0.908,0.359,-4.48,0.137,139.941,0.239
Electronic,27.0,0.000194,0.601,243857.0,0.969,0.409,-1.553,0.185,139.911,0.198
Electronic,33.0,0.59,0.705,191747.0,0.49,0.196,-12.011,0.0677,140.008,0.221
Electronic,38.0,0.0279,0.765,268800.0,0.674,0.0951,-4.165,0.086,104.008,0.354
Electronic,21.0,0.00107,0.656,378440.0,0.826,0.274,-10.967,0.0491,125.674,0.532
Electronic,22.0,0.00111,0.604,161551.0,0.876,0.0958,-4.731,0.0763,173.953,0.588
Electronic,25.0,3.11e-05,0.375,202800.0,0.667,0.673,-6.243,0.0361,162.965,0.442
Folk,79.0,0.0747,0.701,197707.0,0.943,0.601,-2.986,0.0456,128.992,0.791
Folk,68.0,0.261,0.445,183733.0,0.529,0.184,-10.94,0.026,79.296,0.749
Folk,61.0,0.315,0.766,212347.0,0.695,0.112,-5.564,0.341,90.805,0.766
Folk,61.0,0.93,0.624,201085.0,0.193,0.102,-10.53,0.0309,125.017,0.269
Folk,67.0,0.638,0.263,289792.0,0.237,0.109,-13.738,0.0344,73.024,0.0461
Folk,64.0,0.846,0.33,245780.0,0.356,0.194,-6.911,0.0352,93.778,0.243
Folk,50.0,0.837,0.26,200304.0,0.261,0.249,-9.651,0.0358,138.2,0.226
Folk,63.0,0.86,0.504,202440.0,0.497,0.117,-11.858,0.0253,84.879,0.261
Folk,64.0,0.387,0.471,229827.0,0.494,0.617,-10.407,0.0312,79.255,0.373
Folk,58.0,0.638,0.623,188413.0,0.613,0.143,-9.241,0.0309,147.168,0.745
Folk,64.0,0.807,0.691,148040.0,0.43,0.115,-13.252,0.0576,99.032,0.69
Folk,52.0,0.808,0.636,230373.0,0.22,0.112,-12.416,0.0269,98.492,0.377
Folk,52.0,0.0473,0.408,185316.0,0.563,0.0781,-5.97,0.0375,118.565,0.558
Folk,60.0,0.329,0.315,317438.0,0.64,0.0879,-9.256,0.0339,97.968,0.583
Folk,53.0,0.595,0.774,164627.0,0.439,0.109,-7.612,0.0364,125.085,0.661
Folk,46.0,0.356,0.586,263880.0,0.918,0.128,-5.845,0.0708,111.994,0.31
Folk,59.0,0.916,0.662,262533.0,0.207,0.101,-16.176,0.0427,95.466,0.496
Folk,56.0,0.397,0.523,192613.0,0.631,0.123,-7.494,0.0262,105.096,0.715
Folk,52.0,0.00928,0.419,168493.0,0.856,0.124,-5.443,0.0298,152.009,0.721
Folk,56.0,0.14,0.299,198867.0,0.787,0.292,-7.93,0.069,94.798,0.716
Folk,56.0,0.818,0.407,182640.0,0.417,0.106,-4.9,0.0282,157.06,0.335
Folk,51.0,0.213,0.535,391320.0,0.551,0.172,-9.99,0.0337,79.414,0.631
Folk,56.0,0.889,0.474,199400.0,0.333,0.0955,-12.727,0.0581,69.998,0.137
Folk,44.0,0.906,0.56,324787.0,0.241,0.257,-12.621,0.0341,118.462,0.148
Folk,47.0,0.757,0.47,344573.0,0.351,0.556,-9.385,0.034,152.013,0.392
Folk,52.0,0.108,0.595,249147.0,0.537,0.11,-7.666,0.0325,129.764,0.217
Folk,53.0,0.793,0.681,160453.0,0.168,0.109,-13.397,0.0291,128.615,0.29
Folk,49.0,0.188,0.326,202011.0,0.458,0.181,-10.046,0.0315,141.898,0.111
Folk,49.0,0.148,0.631,179733.0,0.365,0.0734,-10.647,0.0245,85.921,0.473
Folk,54.0,0.000296,0.383,150293.0,0.981,0.202,-4.32,0.0926,98.133,0.479
Folk,52.0,0.0104,0.486,188533.0,0.83,0.0635,-10.815,0.037,151.869,0.652
Folk,51.0,0.344,0.674,236440.0,0.538,0.097,-10.469,0.0401,121.269,0.696
Folk,51.0,0.522,0.607,324680.0,0.416,0.331,-14.41,0.0482,154.107,0.924
