property_type,property_bedrooms,property_rooms,property_surface_total,property_surface_covered,latitud,longitud,tipo_precio
Departamento,2.0,3.0,55.0,55.0,-34.6003466,-58.425392,bajo
Departamento,2.0,3.0,79.0,67.0,-34.541616,-58.4733768,medio
Departamento,1.0,2.0,48.0,45.0,-34.5717509,-58.4473324,medio
Departamento,3.0,4.0,130.0,119.0,-34.5838423,-58.4007166,medio
Departamento,2.0,3.0,108.88480272083814,86.0,-34.5912178,-58.4131114,alto
Departamento,1.0,2.0,37.0,37.0,-34.5536306,-58.4835601,alto
PH,1.0,2.0,76.0,60.0,-34.591277,-58.4359323,medio
Departamento,2.0,3.0,61.0,54.0,-34.5872179,-58.5014637,medio
Departamento,1.0,2.0,53.0,51.0,-34.614604,-58.4377566,medio
PH,2.0,3.0,66.0,57.0,-34.5478918,-58.4731817,medio
Departamento,2.0,3.0,59.0,59.0,-34.5575536,-58.4517265,alto
Departamento,1.0,1.0,38.0,35.0,-34.6035355,-58.3938097,bajo
Departamento,3.0,4.0,120.0,100.0,-34.5915767,-58.4999241,alto
Departamento,3.0,4.0,151.0,80.0,-34.6282465,-58.4844109,bajo
Departamento,1.0,2.0,42.0,40.0,-34.5861545,-58.5044312,medio
Departamento,3.0,4.0,152.0,104.4229157631696,-34.5630587,-58.4487489,alto
Departamento,1.0,2.0,61.0,49.0,-34.5441114,-58.4630978,alto
Departamento,2.0,3.0,66.0,62.0,-34.5902524,-58.4236001,alto
Departamento,1.0,2.0,72.0,65.0,-34.5805600977,-58.4139364958,alto
Departamento,2.0,3.0,42.0,42.0,-34.6003048,-58.4392038,medio
Departamento,4.0,5.0,108.0,97.0,-34.629548,-58.465797,bajo
Departamento,2.0,3.0,76.0,72.0,-34.5377064,-58.4667691,alto
Departamento,1.0,1.0,44.0,40.0,-34.6270505,-58.5083695,medio
Departamento,1.0,2.0,47.0,35.0,-34.576126,-58.498142,medio
PH,1.0,2.0,54.0,41.0,-34.579745,-58.439927,medio
Departamento,2.0,3.0,83.0,60.0,-34.5593235,-58.4673459,medio
Departamento,3.0,4.0,129.5833682267301,110.0,-34.6252112,-58.4643312,medio
Departamento,1.0,2.0,46.0,43.0,-34.598979,-58.411954,alto
Departamento,1.0,1.0,60.0,53.0,-34.5811207,-58.4098961,alto
Departamento,2.0,3.0,39.0,38.0,-34.5920819,-58.41047,medio
PH,2.0,3.0,56.0,50.0,-34.5495125,-58.4728257,alto
Departamento,1.0,2.0,45.0,32.0,-34.5779903,-58.4292651,medio
Departamento,3.0,4.0,140.0,125.0,-34.6253178,-58.4391374,alto
Departamento,1.0,1.0,29.0,27.0,-34.6069457,-58.3892969,medio
Departamento,1.0,2.0,54.89126168889159,54.89126168889159,-34.590619,-58.4141335,bajo
Departamento,1.0,2.0,43.0,38.0,-34.583688,-58.469951,bajo
Departamento,1.0,2.0,60.0,50.0,-34.5412501,-58.4729664,bajo
Departamento,2.0,2.0,112.0,89.0,-34.6284851392,-58.4520963249,alto
Departamento,1.0,2.0,58.0,55.0,-34.5993514,-58.4237701,medio
Departamento,1.0,2.0,49.0,46.0,-34.6248648,-58.3769236,bajo
Departamento,1.0,2.0,100.0,53.0,-34.5800597,-58.4338269,medio
Departamento,2.0,3.0,65.0,61.0,-34.5809904,-58.4707798,bajo
Departamento,1.0,1.0,32.0,30.0,-34.5965184,-58.4065741,medio
PH,1.0,2.0,88.0,76.11911343501075,-34.5535309,-58.4646131,medio
Departamento,2.0,3.0,51.0,51.0,-34.6177209,-58.4290238,medio
Departamento,1.0,1.0,32.0,28.0,-34.5942505157,-58.4414056238,medio
Departamento,2.0,3.0,85.0,72.0,-34.5643494,-58.4580827,alto
Departamento,2.0,3.0,73.0,70.0,-34.5601594,-58.4715658,medio
Departamento,3.0,4.0,81.0,71.0,-34.617578,-58.4661053,bajo
Departamento,2.0,3.0,87.32379698553402,61.0,-34.6186522,-58.3990321,bajo
Departamento,3.0,4.0,128.0,116.0,-34.6029581,-58.4373896,medio
Departamento,3.0,4.0,127.0,105.0,-34.6328424,-58.4665809,bajo
Departamento,1.0,1.0,36.0,33.0,-34.6151528,-58.4603044,medio
Departamento,1.0,1.0,34.0,32.0,-34.6123562,-58.4421095,medio
Departamento,3.0,4.0,126.9960475384936,107.0,-34.5921008,-58.3998546,medio
Departamento,1.0,2.0,47.0,40.0,-34.5518155,-58.4431087,alto
Departamento,3.0,4.0,61.0,61.0,-34.6152725,-58.4002485,bajo
Departamento,1.0,2.0,42.0,38.0,-34.610642,-58.4425061,medio
Departamento,2.0,3.0,50.0,48.0,-34.6086777,-58.4212162,medio
PH,3.0,4.0,120.0,90.0,-34.6232329,-58.4129655,medio
Departamento,1.0,2.0,48.0,45.0,-34.5860168746,-58.4227309159,alto
Departamento,1.0,1.0,43.0,36.0,-34.6283524,-58.4298975,alto
Departamento,1.0,2.0,44.0,42.0,-34.6028389,-58.4510098,medio
Departamento,2.0,3.0,60.0,60.0,-34.5678323182,-58.4471517853,alto
Departamento,2.0,3.0,73.0,63.0,-34.633871,-58.4615887,medio
Departamento,3.0,4.0,76.0,76.0,-34.596446101,-58.4446087098,bajo
Departamento,1.0,1.0,36.0,32.0,-34.5781107,-58.4325058,alto
Departamento,1.0,2.0,32.0,32.0,-34.5906259,-58.4045295,alto
Departamento,2.0,3.0,55.0,55.0,-34.629692,-58.398225,bajo
Departamento,3.0,4.0,86.0,83.0,-34.6039651,-58.4580712,bajo
Departamento,1.0,2.0,57.0,57.0,-34.5585119,-58.4600407,medio
Departamento,1.0,2.0,31.0,31.0,-34.6074488,-58.3991021,medio
Departamento,2.0,3.0,60.0,60.0,-34.6025947,-58.4661368,medio
Departamento,1.0,1.0,41.0,38.0,-34.5785781,-58.4375719,alto
Departamento,3.0,4.0,90.0,90.0,-34.6155570244,-58.4759067374,medio
Departamento,2.0,3.0,65.0,61.0,-34.6186663,-58.4403616,medio
Departamento,1.0,1.0,24.0,24.0,-34.6051408,-58.4259254,alto
Departamento,2.0,3.0,76.0,73.0,-34.598574,-58.439268,alto
Departamento,3.0,4.0,200.0,185.0,-34.5755524,-58.459705,alto
Departamento,2.0,3.0,103.0,92.0,-34.5860765,-58.4128525,alto
Departamento,3.0,4.0,100.0,90.0,-34.5856837,-58.3889669,alto
Departamento,1.0,2.0,49.0,41.0,-34.5698125,-58.4456952,medio
Departamento,2.0,3.0,75.0,71.0,-34.572871,-58.4896177,bajo
Departamento,1.0,2.0,40.0,40.0,-34.5899842,-58.3835233,alto
Departamento,1.0,1.0,39.0,35.0,-34.5563672,-58.4620347,alto
Departamento,3.0,4.0,140.0,125.0,-34.5695826626,-58.4870180307,alto
Departamento,1.0,1.0,58.00082918552043,27.0,-34.5653841,-58.4379419,bajo
PH,3.0,4.0,109.0,109.0,-34.590179,-58.488192,alto
Departamento,1.0,1.0,40.0,37.0,-34.5890663246,-58.3831364889,alto
Departamento,1.0,1.0,36.0,33.0,-34.5711458784,-58.486675132,medio
Departamento,2.0,3.0,76.0,60.0,-34.558074,-58.4530498,medio
Departamento,3.0,4.0,127.0,116.0,-34.6162487,-58.4288723,medio
Departamento,3.0,4.0,82.0,79.0,-34.5507593,-58.4684478,medio
Departamento,1.0,1.0,39.0,34.0,-34.5826105,-58.4697235,medio
Departamento,3.0,4.0,122.0,110.0,-34.5552478,-58.4386291,alto
Departamento,1.0,2.0,41.0,41.0,-34.5949568,-58.391993,medio
Departamento,1.0,1.0,49.0,45.0,-34.62189,-58.3783403,medio
Departamento,3.0,4.0,80.0,80.0,-34.5939422,-58.404242,bajo
Departamento,2.0,3.0,72.0,58.0,-34.6419192,-58.5065492,medio
Departamento,4.0,5.0,106.0,88.0,-34.6011398,-58.4661442,bajo
Departamento,1.0,1.0,42.0,37.0,-34.5410099,-58.4739227,medio
PH,2.0,3.0,95.0,56.0,-34.6293998,-58.4211743,medio
Departamento,1.0,1.0,44.0,34.0,-34.5505127,-58.4713761,alto
Departamento,1.0,2.0,43.0,40.0,-34.615060244,-58.411814448,medio
Departamento,3.0,4.0,133.0,121.0,-34.5670774,-58.4313924,alto
Departamento,2.0,3.0,45.0,45.0,-34.5938135,-58.413975,alto
Departamento,2.0,3.0,78.0,65.0,-34.5794695996,-58.5009689141,medio
Departamento,1.0,2.0,58.86326941493259,28.0,-34.6058669,-58.398864,bajo
Departamento,1.0,2.0,60.0,43.0,-34.579161,-58.4557239,bajo
Departamento,1.0,2.0,52.0,52.0,-34.6098166,-58.3987608,bajo
Departamento,2.0,3.0,51.0,50.0,-34.6133814,-58.4024376,bajo
Departamento,3.0,4.0,83.0,80.0,-34.6113635,-58.4390497,medio
Departamento,2.0,3.0,85.0,80.0,-34.652344,-58.492268,bajo
Departamento,2.0,3.0,93.0,93.0,-34.627041,-58.38241,bajo
Departamento,1.0,2.0,76.0,50.0,-34.5983446966,-58.3723646376,medio
Departamento,1.0,2.0,58.0,43.0,-34.5460605,-58.4757661,alto
Departamento,3.0,4.0,85.0,80.0,-34.6209422,-58.4176377,medio
Departamento,1.0,2.0,37.0,37.0,-34.6231128,-58.4610149,bajo
Departamento,3.0,4.0,146.0,146.0,-34.5903085,-58.3835678,alto
Departamento,1.0,2.0,62.0,57.0,-34.5883979,-58.4330084,alto
PH,2.0,3.0,145.0,113.0,-34.624682,-58.528009,bajo
Departamento,1.0,2.0,59.0,53.0,-34.5881125,-58.4391799,medio
Departamento,1.0,2.0,35.0,35.0,-34.5877212,-58.4219548,alto
Departamento,1.0,2.0,57.0,47.0,-34.5723030946,-58.447418073,medio
Departamento,3.0,4.0,85.0,76.0,-34.56556,-58.440163,medio
Departamento,2.0,3.0,76.0,70.0,-34.6137107,-58.4959961,bajo
Departamento,1.0,1.0,43.0,38.0,-34.6116281,-58.3749887,medio
Departamento,3.0,5.0,170.0,112.3833601679643,-34.5784604,-58.4146251,alto
Departamento,3.0,4.0,80.0,80.0,-34.6159245,-58.4406027,medio
Departamento,1.0,1.0,20.0,20.0,-34.5926779,-58.398775,alto
Casa,3.0,4.0,138.20777052085174,120.0,-34.6092974,-58.4799217,medio
Departamento,3.0,5.0,143.0,126.0,-34.6056132206,-58.3833896555,bajo
Departamento,1.0,2.0,38.0,36.0,-34.5467233544,-58.4827877688,bajo
Departamento,2.0,3.0,56.0,56.0,-34.6122944,-58.3718769,medio
Departamento,2.0,3.0,57.0,50.0,-34.5631921,-58.4753669,medio
Departamento,3.0,4.0,129.5833682267301,110.0,-34.5892401,-58.3910319,alto
Departamento,2.0,3.0,57.0,52.0,-34.6034795,-58.3996947,bajo
Departamento,1.0,2.0,54.0,46.0,-34.5780459,-58.4325908,alto
Departamento,1.0,2.0,37.0,37.0,-34.5906256,-58.4190465,alto
